001   A01   人事部   4000   2000   1500   7500   6000
002   B02   财务部   5000   2000   2000   9000   7200
003   C03   市场部   6000   2000   3000   11000  8250
004   D04   信息部   3000   2000   1000   6000   4800
005   D02   信息部   4000   5000   6000   15000  11250
006   E01   销售部   3000   6000   6000   15000  11250
007   F02   技术部   6000   6000   6000   18000  13500
008   D03   宣传部   4000   6000   7000   17000  12750
009   A05   海外部   7000   5000   7000   19000  14250
010   A01   人事部   6000   6000   4000   16000  12000
011   D04   信息部   5000   6000   4000   15000  11250
012   C03   市场部   6000   3000   4000   13000  9750
013   E01   海外部   8000   3000   2000   13000  9750
014   C03   市场部   3000   3000   2000   8000   6400
015   A05   海外部   5000   1000   3000   9000   7200
016   D03   宣传部   4000   2000   1000   9000   7200
017   B02   财务部   2000   4000   1500   7500   6000
018   C03   市场部   3000   5000   2000   10000  7500
019   D04   信息部   4000   3000   4000   11000  8250
020   B02   财务部   5000   4000   2000   11000  8250
